1;-5;-9;1;-14;-4;-9;-2;-10;0;-12
2;0;-15;0;-10;-2;-7;-7;-10;-4;-9
3;-9;-9;-1;-9;-2;-4;-5;-15;0;-18
4;-5;-3;0;-9;0;-5;-7;-15;0;-15
5;-2;-7;-1;-8;-1;-3;-2;-14;-4;-13
6;-5;-8;1;-7;-2;-6;1;-12;-13;-13
7;-2;-4;4;-19;-4;-7;0;-5;-9;-11
8;-4;-7;1;-15;-6;-5;2;-7;-2;-15
9;-5;-7;-1;-6;-8;-4;0;-5;-1;-7
10;-10;-2;0;-5;-6;-3;1;-9;-12;-5
11;-13;-4;-1;-16;-4;-4;1;-14;-14;0
12;-9;-3;-4;-15;-3;-6;-7;-14;-12;-3
13;-4;1;-3;-15;-1;-7;-6;-13;-8;-7
14;-5;1;-1;-16;1;-3;-8;-15;-5;-7
15;-10;1;-4;-18;-6;-8;-4;-9;-6;-6
16;-11;0;-6;-22;-6;-8;-4;-7;-3;-6
17;-12;-2;-11;-12;-5;-5;0;-5;-1;-4
18;1;0;-12;-3;-6;-16;1;-5;-2;2
19;-3;-2;-11;-4;-8;-11;3;-17;-8;-10
20;-5;1;-7;-26;-8;-13;-2;-17;-2;-6
21;-2;1;-2;-4;-2;-11;-5;-6;-13;-8
22;-3;0;3;-18;-6;-12;-3;-4;-20;-3
23;1;-5;3;-2;-6;-12;2;-5;-27;1
24;1;-1;1;-3;-5;-6;0;-11;-15;1
25;-1;-9;-5;-5;-5;-10;-6;-4;-12;0
26;-1;-12;-5;-4;-9;-11;-9;-9;-13;0
27;-1;-13;-3;-3;1;-5;-9;-5;-13;0
28;-2;-11;-3;0;1;-12;-9;-12;-17;0
29;-1;-10;-7;-3;1;-11;-7;-15;-15;0
30;1;-15;-10;-4;0;-14;-5;-10;-13;0
31;1;-17;-16;-2;-3;-6;0;-8;-9;0
